Document_ID,Date_Publish,Inventor,Title,PayPatent,Patent_Language,Description
US RE49908 E,4/11/2024,Åvist; Pyry et al.,"['Systems', 'System', '”', 'method', 'Virtualization', 'Cloud', 'Computing', 'System']",United States,en,systems system method virtualization cloud computing system
US RE49860 E,4/11/2024,Ünlü; M. Selim et al.,"['“', 'Immune', 'checkpoint', 'intervention', '”', 'cancer']",United States,en,immune checkpoint intervention cancer
US RE49758 E,4/11/2024,Ünlü; M. Selim et al.,"['Phosphoric', 'Acid', 'Compound', 'Precursor', 'Phosphoric', 'Acid', 'Compound', 'Reaction', 'Inhibitor', 'Medicine', 'Containing', 'Same', 'Method', 'Inhibiting', 'Reaction']",United States,en,#NOM?
US RE49669 E,4/11/2024,ÜNLÜ; M. Selim et al.,"['DIHYDRO-ß-CARBOLINE', 'AND', 'TETRAHYDRO-ß-CARBOLINE', 'ALKALOID', 'DERIVATIVES', 'AND', 'PREPARATION', 'METHODS', 'SAME', 'AND', 'USE', 'IN', 'ASPECTS', 'OF', 'PREVENTING', 'AND', 'TREATING', 'PLANT', 'VIRUSES', 'FUNGICIDES', 'AND', 'INSECTICIDES']",United States,de,#NOM?
US RE49583 E,4/11/2024,ÜNLÜ; M. SELIM et al.,"['VACCINE', 'THE', 'TREATMENT', 'OF', 'ALZHEIMER', '’', 'S', 'DISEASE']",United States,de,#NOM?
US RE49522 E,4/11/2024,ÜBELHART; Rudolf et al.,"['nucleic', 'acid', 'detection', 'methods', 'kits']",United States,en,zymogenic nucleic acid detection methods related kits
US RE49444 E,4/11/2024,Østergaard; John Erland et al.,"['Zymogen', 'Activators']",United States,en,zymogen activators
US RE49124 E,4/11/2024,Östman; Sofia et al.,"['Zymogen', 'activation', 'system']",United States,en,zymogen activation system
US RE49093 E,4/11/2024,Österberg; Monika et al.,"['ZYGOMYCETES', 'FOR', 'FISH', 'FEED']",United States,de,zygomycetes for fish feed
US RE49076 E,4/11/2024,Önder; Kamil et al.,"['ZWITTERIONIZATION', 'OF', 'CAPSULAR', 'SACCHARIDES']",United States,de,zwitterionization of capsular saccharides
