Numéro,Patent Number,Inventeur/org,Date de publication,country_code,country_name,description_language,Titre,Description
1,wo2010145768a1,goracon engineering gmbh,2010-12-23,wo,world intellectual property organization wipo,fr,"['auxiliaire', 'permettant', 'la', 'monte', 'dune', 'personne', 'ou', 'dune', 'charge']","['linvention', 'concerne', 'un', 'auxiliaire', 'permettant', 'la', 'monte', 'dune', 'personne', 'ou', 'dune', 'charge', 'pour', 'chelles', 'daccs', '2', 'rampes', 'daccs', 'ou', 'dispositifs', 'analogues', 'de', 'dplacement', 'en', 'monte', 'comprenant', 'un', 'lment', 'de', 'traction', '3', 'configur', 'en', 'particulier', 'en', 'tant', 'que', 'cble', 'sans', 'fin', 'pouvant', 'tre', 'entran', 'par', 'exemple', 'par', 'un', 'systme', 'dentranement', '', 'moteur', 'qui', 'peut', 'tre', 'reli', '', 'la', 'personne', '1', 'ou', '', 'la', 'charge', 'au', 'moyen', 'dun', 'systme', 'de', 'sangle', '5', 'qui', 'doit', 'tre', 'fix', '', 'la', 'personne', '1', 'ou', '', 'la', 'charge', 'et', 'un', 'dispositif', 'de', 'retenue', 'configur', 'par', 'exemple', 'en', 'tant', 'que', 'curseur', 'pare-chute', '10', 'maintenu', 'au', 'systme', 'de', 'sangle', '5', 'et', 'qui', 'est', 'fix', 'au', 'dispositif', 'de', 'monte', '2.', 'en', 'vue', 'dobtenir', 'une', 'retenue', 'anti-chute', 'fiable', 'llment', 'de', 'traction', '3', 'est', 'dsaccouplable', 'en', 'fonction', 'de', 'la', 'charge', 'du', 'systme', 'de', 'sangle', '5', 'fig.', '2.']"
2,cn1431018a,dongkanglong virus biotechnolo,2003-07-23,cn,china,en,"['syncretic', 'protein', 'product', 'human', 'methionine', 'enkephalin', 'interferon', 'alpha-m', 'anti-hsv', 'infection', 'easy', 'pain']","['antivirus', 'antalgic', 'methionine', 'enkephalin', 'interferon', 'alpha-m', 'fusion', 'protein', 'enk-met-inf', 'alpha-m', 'ei', 'prepared', 'manual', 'design', 'chemical', 'synthesis', 'over-lapping', 'pcr', 'protein', 'modification', 'renaturation', 'purification.', 'used', 'prepare', 'eyedrops', 'treating', 'ophthalmopathy', 'caused', 'hsv-1', 'infection', 'liniment', 'treating', 'genital', 'herpes', 'caused', 'hsv-2', 'infection', 'external-applied', 'analgesic', 'treating', 'skin', 'burnt', 'inflammation.']"
3,wo9909193a1,hepavec ag fuer gentherapie de,1999-02-25,wo,world intellectual property organization wipo,fr,"['vecteur', 'de', 'baculovirus', 'modifie', 'par', 'coque', 'de', 'proteine', 'sutilisant', 'en', 'genotherapie']","['...', 'sutiliser', 'en', 'gnothrapie', 'chez', 'lhomme.', 'le', 'vecteur', 'obtenu', 'selon', 'linvention', 'comprend', 'un', 'virus', 'dinsecte', 'de', 'prfrence', 'un', 'reprsentant', 'des', 'baculovirus', 'ou', 'dun', 'virus', 'de', 'la', 'polyhdrose', 'nuclaire', 'contenant', 'les', 'constituants', 'suivants', 'des', 'coques', 'de', 'protines', 'de', 'virus', 'modifies', 'une', 'squence', 'dadn', 'thrapeutique', 'un', 'promoteur', 'adapt', '', 'lexpression', 'gnique', 'et', 'ventuellement', 'une', 'squence', 'dtablissement.', '...']"
4,cn1696152a,virus diseases prevention  co,2005-11-16,cn,china,en,"['lie7', 'recombined', 'protein', '16', 'type', 'human', 'papilomavirus', 'expressed', 'bacillus', 'coli']","['...', 'hpv16', 'chitoprotein', 'gene', 'l1', 'hpv16', 'gene', 'engineering', 'purifying', 'chromatography.', 'pentamer...']"
5,wo03095656a1,gsf forschungszentrum umwelt de,2003-11-20,wo,world intellectual property organization wipo,fr,"['virus', 'de', 'variole', 'aviaire', 'recombinant']","['linvention', 'concerne', 'un', 'virus', 'de', 'variole', 'aviaire', 'recombinant', 'fwpv', 'et', 'un', 'vecteur', 'adn', 'contenant', 'des', 'squences', 'gniques', 'pour', 'un', 'tel', 'virus', 'de', 'variole', 'aviaire', 'recombinant.', 'la', 'prsente', 'invention', 'porte', 'galement', 'sur', 'une', 'prparation', 'pharmaceutique', 'comprenant', 'ce', 'virus', 'de', 'variole', 'aviaire', 'recombinant', 'ou', 'un', 'vecteur', 'adn', 'lutilisation', 'de', 'ce', 'virus', 'de', 'variole', 'aviaire', 'recombinant', 'pour', 'traiter', 'des', 'maladies', 'associes', '...']"
6,ep0324350a1 b1,hoffmann la roche ch,1989-07-19,ep,european patent office epo,en,"['vaccinia', 'virus', 'mva', 'recombinant.']","['recombinant', 'vaccinia', 'viruses', 'derived', 'modified', 'virus', 'ankara', 'mva', 'contain', 'dna', 'sequence', 'codes', 'foreign', 'antigen.', 'invention', 'also', 'relates', 'vaccines', 'contain', 'virus', 'type', 'form', 'suitable', 'injection', 'processes', 'preparation', 'thereof.', 'invention', 'furthermore', 'relates', 'use', 'recombinant', 'vaccinia', 'virus', '...']"
7,ep0564532a1 b1,boehringer mannheim gmbh de,1993-10-13,ep,european patent office epo,fr,"['polypeptides', 'derives', 'de', 'proteines', 'du', 'virus', 'de', 'lhepatite', 'c.']","['il', 'est', 'dcrit', 'le', 'clonage', 'et', 'le', 'squencement', 'de', 'diffrents', 'polypeptides', '', 'partir', 'du', 'gnome', 'du', 'virus', 'de', 'lhpatite...']"
8,cn115386556a b,shanghai veterinary res institute chinese academy of agricultural sciences,2022-11-25,cn,china,en,"['recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', 'tandem', 'expression', 'african', 'swine', 'fever', 'virus', 'p30', 'p54', 'genes', 'application', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', '...']","['...the', 'invention', 'provides', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', 'tandem', 'expression', 'african', 'swine', 'fever', 'virus', 'p30', 'p54', 'genes', 'application', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine.', 'based', 'prv', 'js-2012-delta', 'gi...', 'homologous', 'recombination', 'method', 'recombinant', 'pseudorabies', 'virus', 'gene', 'engineering', 'vaccine', 'tandem', 'expression', 'african', 'swine', 'fever', 'virus', '...']"
9,cn100497391c a,inst of virus prevention  con,2009-06-10,cn,china,en,"['humanized', 'gene', 'engineering', 'antibody', 'resisting', 'hepatitis', 'e', 'virus']","['humanized', 'gene', 'engineering', 'hepatitis', 'v', 'virus-resisting', 'antibody', 'named', 'hev-fab-216', 'hev-fab-315', 'hev-fab-319', 'hev...']"
10,ca3178631a1,joint biosciences sh ltd cn,2021-11-18,ca,canada,fr,"['vaccin', 'virus', 'oncolytique', 'et', 'medicament', 'pour', 'le', 'traitement', 'de', 'tumeurs', 'par', 'combinaison', 'dun', 'vaccin', 'virus', 'oncolytique', 'avec', 'des', 'cellules', 'immunitaires']","['linvention', 'concerne', 'une', 'souche', 'attnue', 'de', 'virus', 'oncolytique', 'un', 'vaccin', '', 'virus', 'oncolytique', 'et', 'un', 'mdicament', 'pour', 'le', 'traitement', 'de', 'tumeurs', 'par', 'combinaison', 'du', 'vaccin', '', 'virus', 'oncolytique', 'avec', 'des', 'cellules', 'immunitaires.', 'la', 'prsente', 'invention', 'concerne', 'une', 'nouvelle', 'souche', 'attnue', 'de', 'virus', 'oncolytique', 'obtenue', 'par', 'la', 'mutation', 'dirige', 'vers', 'un', 'site', 'de', 'la', 'protine', 'm', 'de', 'la', 'matrice', 'du', '...']"
