Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
WO2010145768A1,PASSENGER OR LOAD RAISING AID,23/12/2010,VIRUS-TETZLAFF OLAV [DE],World Intellectual Property Organization (WIPO),de,WO,GORACON ENGINEERING GMBH [DE]  VIRUS-TETZLAFF OLAV [DE],42664262,passenger load raising aid
CN1431018A,Syncretic protein product of human methionine enkephalin interferon alpha-m with anti-HSV infection and easy pain,23/07/2003,LU HONGLIANG [CN]  HOU YUNDE [CN]  YI ZUOAN [CN],China,en,CN,DONGKANGLONG VIRUS BIOTECHNOLO [CN],4739302,syncretic protein product human methionine enkephalin interferon alpham antihsv infection easy pain
WO9909193A1,COAT-PROTEIN-MODIFIED BACULOVIRUS VECTOR FOR GENE THERAPY,25/02/1999,HOFMANN CHRISTIAN [DE]  STRAUSS MICHAEL [DE],World Intellectual Property Organization (WIPO),de,WO,HEPAVEC AG FUER GENTHERAPIE [DE]  HOFMANN CHRISTIAN [DE]  STRAUSS MICHAEL [DE],7839201,coatproteinmodified baculovirus vector gene therapy
CN1696152A,LIE7 recombined protein of 16 type human papilomavirus expressed by bacillus coli,16/11/2005,TIAN HOUWEN LU [CN],China,en,CN,VIRUS DISEASES PREVENTION & CO [CN],35349060,lie recombined protein type human papilomavirus expressed bacillus coli
WO03095656A1,RECOMBINANT FOWLPOX VIRUS,20/11/2003,BAIER ROBERT [DE]  BOULANGER DENISE [DE]  ERLFE VOLKER [DE]  SUTTER GERD [DE],World Intellectual Property Organization (WIPO),de,WO,GSF FORSCHUNGSZENTRUM UMWELT [DE]  BAIER ROBERT [DE]  BOULANGER DENISE [DE]  ERLFE VOLKER [DE]  SUTTER GERD [DE],29413803,recombinant fowlpox virus
EP0324350A1  EP0324350B1,Recombinant vaccinia virus MVA.,1989-07-19  1993-11-10,ALTENBURGER WERNER DR [CH]  ALTENBURGER WERNER DR,European Patent Office (EPO),ca,EP,HOFFMANN LA ROCHE [CH],4178924,recombinant vaccinia virus mva
EP0564532A1  EP0564532B1,POLYPEPTIDES DERIVED FROM PROTEINS OF THE HEPATITIS C VIRUS.,1993-10-13  2004-06-30,FUCHS KLAUS [DE]  MOTZ MANFRED [DE]  ROGGENDORF MICHAEL [DE]  SOUTSCHEK ERWIN [DE],European Patent Office (EPO),de,EP,BOEHRINGER MANNHEIM GMBH [DE]  ROCHE DIAGNOSTICS GMBH [DE],6421107,polypeptides derived proteins hepatitis c virus
CN115386556A  CN115386556B,Recombinant pseudorabies virus gene engineering vaccine for tandem expression of African swine fever virus P30 and P54 genes and application of recombinant pseudorabies virus gene engineering vaccine,2022-11-25  2023-12-15,TONG WU  ZHOU YANJUN  TONG GUANGZHI  BAO WEILING  GAO FEI  ZHENG HAO  LI GUOXIN  YU HAI  SHAN TONGLING  JIANG YIFENG  YU LINGXUE  LIU CHANGLONG  LI LIWEI  KONG NING,China,en,CN,SHANGHAI VETERINARY RES INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,84115523,recombinant pseudorabies virus gene engineering vaccine tandem expression african swine fever virus p p genes application recombinant pseudorabies virus gene engineering vaccine
CN100497391C  CN1486990A,Humanized gene engineering antibody resisting hepatitis E virus,2004-04-07  2009-06-10,LIANG MIFANG [CN]  BI SHENGLI [CN]  DU RENLEI [CN]  MIFANG LIANG [CN]  SHENGLI BI [CN]  RENLEI DU [CN],China,en,CN,INST OF VIRUS PREVENTION & CON [CN],34152795,humanized gene engineering antibody resisting hepatitis e virus
CA3178631A1,ONCOLYTIC VIRUS VACCINE AND DRUG FOR TREATING TUMORS BY COMBINING ONCOLYTIC VIRUS VACCINE WITH IMMUNE CELLS,18/11/2021,ZHOU GUOQING [CN]  YANG HE [CN]  ZHANG FAN [CN]  ZHANG SUHONG [CN],Canada,de,CA,JOINT BIOSCIENCES SH LTD [CN],71019581,oncolytic virus vaccine drug treating tumors combining oncolytic virus vaccine immune cells
CA3178632A1,ONCOLYTIC VIRUS IN COMBINATION WITH IMMUNE CHECKPOINT INHIBITOR FOR TREATING TUMORS,18/11/2021,ZHOU GUOQING [CN]  YANG HE [CN]  ZHANG FAN [CN]  ZHANG SUHONG [CN],Canada,en,CA,JOINT BIOSCIENCES SH LTD [CN],71764710,oncolytic virus combination immune checkpoint inhibitor treating tumors
CN100371449C  CN1673379A,Structural method for improving gene engineering vector of recombinant silkworm nuclear polyhedron virus,2005-09-28  2008-02-27,GONG CHENGLIANG [CN]  CAO GUANGLI [CN]  XUE RENYU [CN]  CHENGLIANG GONG [CN]  GUANGLI CAO [CN],China,en,CN,UNIV SUZHOU [CN],35046153,structural method improving gene engineering vector recombinant silkworm nuclear polyhedron virus
CN1147555A,Gene engineering-recombined bacillary virus insecticide,16/04/1997,QI YIPENG [CN]  HUANG YONGXIU [CN]  WANG FUSHAN [CN],China,en,CN,UNIV WUHAN [CN],5081349,gene engineeringrecombined bacillary virus insecticide
CN109439634A  CN109439634B,Pseudorabies virus gene engineering attenuated vaccine strain and application thereof,2019-03-08  2021-11-19,WANG JICHUN  LIU YAMEI  ZHANG CHUANJIAN  CHEN SAISAI  QIAO YONGFENG  GUO MINGPENG  WANG ZHISHENG  XU MENGWEI  ZHENG YATING  GUO RONGLI  HOU JIBO,China,en,CN,JIANGSU ACAD AGRICULTURAL SCI,65551576,pseudorabies virus gene engineering attenuated vaccine strain application thereof
CN114774337A  CN114774337B,HCoV-229E virus detection system based on engineering escherichia coli,2022-07-22  2023-08-04,YU YANG  HUANG YONGYE  WU ZIHAN,China,en,CN,UNIV NORTHEASTERN,82425625,hcove virus detection system based engineering escherichia coli
CN114774425A  CN114774425B,MERS-CoV virus detection system based on engineering escherichia coli,2022-07-22  2023-09-22,HUANG YONGYE  YU YANG  WU ZIHAN,China,en,CN,UNIV NORTHEASTERN,82424786,merscov virus detection system based engineering escherichia coli
